update,rollout_steps,episodes_finished,completed,timeouts,trained_win_rate,opponent_win_rate,average_step_reward,trainable_samples,fighter_samples,cleric_samples,wizard_samples,policy_loss,value_loss,entropy,loss,checkpoint,curriculum_level,curriculum_stage,curriculum_kind,training_classes,curriculum_window_size,curriculum_window_win_rate,curriculum_threshold,curriculum_updates_on_level
255,1024,8,5,3,0.2,0.8,0.0110888671875,720,388,332,0,0.05356134745913247,0.9018887380758921,0.6535824586947759,0.49796989063421887,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.06666666666666667,0.7,193
260,1024,8,5,3,0.2,0.8,-0.0037470703124999984,729,377,352,0,0.10728185748060544,1.5394657254219055,0.42084213346242905,0.8728062957525253,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.23333333333333334,0.7,198
265,1024,8,5,3,0.4,0.6,0.0268447265625,676,375,301,0,-0.006232056145866712,0.8749503095944723,0.430448812743028,0.42693860828876495,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.2,0.7,203
270,1024,8,7,1,0.14285714285714285,0.8571428571428571,0.0289755859375,722,407,315,0,0.07526698584357898,1.340388923883438,0.40837667634089786,0.7413776814937592,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.13333333333333333,0.7,208
275,1024,8,4,4,0.25,0.75,-0.01752734375,739,372,367,0,-0.04460597084835172,1.9926279832919438,0.37408701827128726,0.9479671393831571,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.3333333333333333,0.7,213
280,1024,2,2,0,0.5,0.5,-0.0033701171874999988,711,367,344,0,0.17517917851607004,0.9464533825715383,0.4517299955089887,0.6438885629177094,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.16666666666666666,0.7,218
285,1024,9,4,5,0.0,1.0,0.021594726562500003,718,437,281,0,0.12940680452932915,0.557498075067997,0.5467622429132462,0.40268821517626446,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.1,0.7,223
290,1024,1,0,1,0.0,0.0,-0.0108935546875,774,425,349,0,-0.02699553268030286,0.16778335766866803,0.6211278662085533,0.050684867426753044,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.2,0.7,228
295,1024,5,2,3,0.5,0.5,-0.0083076171875,727,481,246,0,0.06227096825023182,0.6619094709555308,0.8348968823750814,0.3848767342666785,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.2,0.7,233
300,1024,5,3,2,0.6666666666666666,0.3333333333333333,0.0200009765625,719,433,286,0,0.05794020043686032,0.9565076678991318,0.7717981984217962,0.5284760544697443,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.36666666666666664,0.7,238
305,1024,4,1,3,1.0,0.0,-0.0050859375,712,456,256,0,-0.06252762558870018,0.22221194704373678,0.7954058746496836,0.040624289152522884,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.3333333333333333,0.7,243
310,1024,8,5,3,0.0,1.0,0.027621093750000002,668,402,266,0,0.102927336236462,0.7260484645764033,0.8562335868676504,0.4573892305294673,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.1,0.7,248
315,1024,4,3,1,0.0,1.0,0.014874023437500002,697,354,343,0,0.07074543468964596,0.5289795051018397,0.917806680003802,0.3260571186741193,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.03333333333333333,0.7,253
320,1024,5,4,1,0.0,1.0,0.019464843750000002,645,390,255,0,0.17031923060615858,0.7666847681005796,0.8591217895348867,0.5450703998406728,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.1,0.7,258
325,1024,6,4,2,0.0,1.0,0.021498046875,614,359,255,0,0.1547588457663854,0.6832530448834101,1.162852277358373,0.48475684722264606,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.1,0.7,263
330,1024,8,8,0,0.25,0.75,0.0324619140625,596,327,269,0,0.10101198296373089,1.0106994609038036,1.1015022695064545,0.5953466867407163,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.3333333333333333,0.7,268
335,1024,6,5,1,0.2,0.8,0.0075517578125000005,536,295,241,0,0.1756169005529955,1.4438315729300182,1.0819975137710571,0.8867127224802971,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.23333333333333334,0.7,273
340,1024,4,3,1,0.0,1.0,0.010476562500000001,606,399,207,0,0.18416841452320418,1.2292529791593552,1.3764157195885975,0.7850307375192642,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.06666666666666667,0.7,278
345,1024,7,5,2,0.2,0.8,0.020908203125,537,346,191,0,0.11253293293217818,0.7271333262324333,1.4937268098195393,0.46116233120361966,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.3,0.7,283
350,1024,4,3,1,0.3333333333333333,0.6666666666666666,0.012667968750000001,465,256,209,0,0.18443796038627625,1.0742505341768265,1.4938672333955765,0.7066245451569557,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.23333333333333334,0.7,288
355,1024,11,11,0,0.2727272727272727,0.7272727272727273,0.05609375,407,235,172,0,0.2286314945667982,2.0181433707475662,1.323697879910469,1.2244662195444107,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.2,0.7,293
360,1024,11,11,0,0.2727272727272727,0.7272727272727273,0.023728515625000002,405,221,184,0,0.14361917972564697,3.086844563484192,1.3826266527175903,1.6732151806354523,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.13333333333333333,0.7,298
